Country,2000_value,2001_value,2002_value,2003_value,2004_value,2005_value,2006_value,2007_value,2008_value,2009_value,2010_value,2011_value,2012_value,2013_value,2014_value,2015_value,2016_value,2017_value,2018_value,2019_value
New Caledonia,,0.06,0.31,0.73,2.21,4.06,6.5,8.35,10.32,13.24,15.07,16.64,18.38,20.28,21.77,20.43,,,,
New Zealand,0.12,0.44,1.1,2.06,4.7,7.76,11.23,20.15,21.39,23.65,24.99,26.66,28.47,29.12,30.87,31.44,32.85,33.67,34.72,
Nicaragua,0.01,0.03,0.04,0.08,0.09,0.19,0.35,0.49,0.76,1.37,1.26,1.44,1.69,2.17,1.81,1.87,2.81,3.29,2.98,3.31
Niger,,,,,0,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0.16,0.14,0.04,0.04,,
Nigeria,,,,,,0,,0.04,0.05,0.05,0.06,,0.01,0.01,0.01,0.01,0.06,0.06,0.04,
Niue,,,,,,,,,,,,,,,,,,,,
Norfolk Islands,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,0.6,1.77,4.87,8.76,11.25,12.5,13.59,15.05,16.3,17.04,17.53,18.34,19.03,20.55,21.33
Northern Marianas,,,,,,,,,,,,,,,,,,,,
Norway,0.52,1.96,4.52,8.73,14.61,21.4,26.63,30.88,33.06,34.56,35.27,36.09,37.05,37.62,38.45,39.43,40.13,40.88,41.34,
Oman,,,0,0.01,0.03,0.53,0.78,0.76,1.18,1.43,1.93,2.41,3.24,4.1,4.4,5.47,6.35,7.48,9.17,10.24
Pakistan,,,,,,0.01,0.02,0.03,0.1,0.22,0.44,0.64,0.81,0.85,1.03,0.9,0.81,0.88,0.85,0.81
Palau,,,,,0.37,0.51,0.5,0.53,0.59,0.78,1.33,2.92,5.09,10.25,6.3,6.93,,,,
Palestine,,,,,0,0.21,0.74,1.48,,,,3.76,4.39,4.92,5.31,6.06,6.92,7.58,7.49,
Panama,,0.25,0.39,0.47,0.51,0.53,3.32,4.35,5.58,6.55,7.09,7.63,7.82,8.01,7.95,7.97,10.65,10.74,12.93,13.53
Papua New Guinea,,,,,,,,,0.04,0.06,0.08,0.1,0.12,0.15,0.17,0.19,0.21,0.21,,
Paraguay,0,0.01,0.01,0.01,0.05,0.1,0.1,0.14,0.21,1.26,1.43,1.9,2.12,2.41,2.81,3.22,3.64,4.23,4.61,
